,Field_ID,aspect,average_temperature,band_1_mean_2007,band_1_mean_2008,band_1_mean_2009,band_1_mean_2010,band_1_mean_2011,band_1_mean_2012,band_1_mean_2013,band_2_mean_2007,band_2_mean_2008,band_2_mean_2009,band_2_mean_2010,band_2_mean_2011,band_2_mean_2012,band_2_mean_2013,band_3_mean_2007,band_3_mean_2008,band_3_mean_2009,band_3_mean_2010,band_3_mean_2011,band_3_mean_2012,band_3_mean_2013,band_4_mean_2007,band_4_mean_2008,band_4_mean_2009,band_4_mean_2010,band_4_mean_2011,band_4_mean_2012,band_4_mean_2013,band_5_mean_2007,band_5_mean_2008,band_5_mean_2009,band_5_mean_2010,band_5_mean_2011,band_5_mean_2012,band_5_mean_2013,band_7_mean_2007,band_7_mean_2008,band_7_mean_2009,band_7_mean_2010,band_7_mean_2011,band_7_mean_2012,band_7_mean_2013,crops_max_year,elevation,margins,maxCRSI_year,max_CRSI,salinity,slope,total_precipitation,ucr_precipitation,ucr_temperature
0,1.0,328,285.080469767,999.0625,1149.0,1081.06666667,1159.70588235,740.529411765,996.153846154,1073.94736842,1217.8125,1432.42105263,1388.33333333,1405.29411765,1019.58823529,1251.84615385,1411.78947368,1475.9375,1754.78947368,1704.8,1635.0,1318.23529412,1520.30769231,1732.89473684,2123.5625,2724.36842105,2535.6,2609.17647059,2287.64705882,2309.53846154,2698.10526316,3794.0625,3928.0,3875.26666667,3338.17647059,3164.52941176,3721.46153846,3852.15789474,3046.0625,3150.52631579,3171.26666667,2414.11764706,2155.94117647,3069.92307692,3011.57894737,0.0,66,1.0,2011.0,0.774289619622,0.01,1,119.0,175.963,289.7135
1,1.0,340,285.080469767,1016.5,1142.84210526,1082.0,1121.70588235,748.117647059,1008.69230769,1135.78947368,1232.1875,1451.0,1410.93333333,1385.88235294,1022.0,1282.30769231,1467.68421053,1510.6875,1801.05263158,1741.53333333,1615.52941176,1313.35294118,1547.61538462,1805.36842105,2160.9375,2863.68421053,2651.6,2638.35294118,2321.05882353,2351.07692308,2802.52631579,3923.8125,4084.94736842,4020.73333333,3319.47058824,3200.17647059,3861.30769231,4058.68421053,3170.3125,3198.15789474,3194.86666667,2343.05882353,2176.52941176,3177.46153846,3233.26315789,0.0,66,1.0,2011.0,0.773923580089,1.997,0,119.0,175.963,289.7135
2,1.0,152,285.080469767,958.0,1079.31578947,1001.73333333,1099.58823529,732.294117647,942.0,1084.42105263,1165.125,1368.57894737,1293.73333333,1329.64705882,1004.64705882,1194.84615385,1400.89473684,1423.3125,1737.47368421,1634.33333333,1552.35294118,1294.35294118,1450.76923077,1740.0,2084.5,2780.68421053,2557.53333333,2570.29411765,2357.11764706,2274.07692308,2729.89473684,3628.125,3839.89473684,3804.93333333,3215.47058824,3135.0,3735.69230769,3969.84210526,2899.5625,2892.63157895,2907.26666667,2254.05882353,2100.41176471,3030.38461538,3067.52631579,0.0,66,1.0,2011.0,0.781936546122,3.827,0,119.0,175.963,289.7135
3,1.0,151,285.080469767,970.75,1133.05263158,1017.86666667,1080.0,736.705882353,947.923076923,1070.05263158,1191.375,1426.52631579,1331.8,1340.11764706,1020.70588235,1190.30769231,1390.78947368,1456.9375,1774.68421053,1663.26666667,1543.88235294,1297.17647059,1438.15384615,1709.63157895,2141.75,2832.73684211,2604.33333333,2598.94117647,2326.94117647,2247.07692308,2679.0,3745.4375,3901.42105263,3838.66666667,3194.76470588,3145.05882353,3684.76923077,3903.94736842,2975.5,2966.36842105,2928.66666667,2239.94117647,2140.94117647,2958.46153846,3028.10526316,0.0,66,1.0,2011.0,0.775323125468,3.08,0,119.0,175.963,289.7135
4,1.0,149,285.080469767,1024.0,1168.26315789,1064.0,1102.94117647,765.352941176,977.230769231,1104.21052632,1244.5625,1487.21052632,1370.53333333,1362.17647059,1037.88235294,1259.69230769,1441.57894737,1532.0625,1846.63157895,1731.6,1570.64705882,1328.64705882,1511.92307692,1779.94736842,2200.9375,2926.05263158,2652.93333333,2622.35294118,2301.41176471,2318.30769231,2770.47368421,3926.6875,4062.63157895,3935.66666667,3250.76470588,3230.94117647,3751.30769231,3963.10526316,3190.875,3169.52631579,3061.33333333,2304.58823529,2228.11764706,3077.38461538,3104.42105263,0.0,66,1.0,2011.0,0.766536772914,1.092,0,119.0,175.963,289.7135
5,1.0,148,285.080469767,1005.0,1165.84210526,1006.66666667,1093.64705882,793.588235294,1021.46153846,1103.31578947,1230.1875,1476.78947368,1334.6,1344.94117647,1058.11764706,1291.84615385,1455.94736842,1511.8125,1851.84210526,1686.66666667,1547.88235294,1323.0,1574.15384615,1808.31578947,2166.75,2884.0,2576.8,2544.76470588,2253.94117647,2396.30769231,2813.73684211,3853.1875,4000.68421053,3837.73333333,3233.23529412,3233.0,3782.07692308,3925.26315789,3123.125,3102.0,2954.66666667,2275.35294118,2277.82352941,3116.69230769,3061.63157895,0.0,66,1.0,2011.0,0.748701520469,0.146,0,119.0,175.963,289.7135
6,1.0,147,285.080469767,990.6875,1189.73684211,1006.8,1110.41176471,793.764705882,1067.64285714,1111.26315789,1221.3125,1498.68421053,1324.13333333,1330.52941176,1056.58823529,1351.71428571,1458.63157895,1499.5625,1843.15789474,1661.2,1546.94117647,1326.23529412,1632.85714286,1827.21052632,2134.1875,2833.42105263,2552.53333333,2502.17647059,2240.41176471,2453.14285714,2811.73684211,3826.9375,4028.15789474,3823.4,3225.94117647,3220.0,3852.5,3920.89473684,3071.6875,3149.78947368,2950.86666667,2248.47058824,2284.64705882,3182.28571429,3041.26315789,0.0,66,1.0,2011.0,0.748161906079,0.089,0,119.0,175.963,289.7135
7,1.0,150,285.080469767,985.0,1206.15789474,1021.26666667,1105.35294118,788.235294118,1028.0,1115.78947368,1195.375,1498.63157895,1345.93333333,1333.94117647,1046.64705882,1315.35714286,1468.42105263,1477.0,1854.84210526,1687.66666667,1552.76470588,1298.35294118,1595.42857143,1831.78947368,2110.875,2825.31578947,2576.06666667,2476.05882353,2238.58823529,2407.42857143,2777.57894737,3794.9375,4058.47368421,3870.6,3257.88235294,3193.29411765,3798.14285714,3928.15789474,3052.375,3199.73684211,2999.2,2328.23529412,2241.0,3114.85714286,3048.68421053,0.0,66,1.0,2011.0,0.746869591047,0.111,0,119.0,175.963,289.7135
8,1.0,153,285.080469767,968.125,1213.78947368,1054.6,1097.0,757.764705882,1008.28571429,1096.21052632,1180.125,1504.84210526,1359.4,1340.47058824,1030.76470588,1267.07142857,1439.42105263,1437.5,1831.26315789,1709.46666667,1545.47058824,1288.35294118,1534.64285714,1780.21052632,2086.375,2803.47368421,2601.06666667,2468.88235294,2225.70588235,2355.5,2744.68421053,3785.5625,4052.57894737,3900.13333333,3237.52941176,3148.88235294,3739.57142857,3885.10526316,3022.875,3208.15789474,3031.86666667,2316.35294118,2205.82352941,3021.14285714,3008.21052632,0.0,66,1.0,2011.0,0.756204345651,0.127,0,119.0,175.963,289.7135
9,1.0,150,285.080469767,948.125,1189.0,1050.93333333,1076.0,754.529411765,938.214285714,1046.57894737,1166.3125,1486.52631579,1364.33333333,1314.58823529,1005.76470588,1195.28571429,1371.47368421,1438.8125,1832.89473684,1724.46666667,1513.88235294,1267.76470588,1431.78571429,1735.47368421,2080.125,2833.89473684,2599.2,2444.35294118,2196.88235294,2290.42857143,2682.57894737,3776.625,4087.94736842,3975.06666667,3238.76470588,3140.35294118,3618.57142857,3849.52631579,2970.0,3218.57894737,3102.26666667,2287.88235294,2151.94117647,2916.14285714,2930.0,0.0,66,1.0,2011.0,0.756134754522,0.104,0,119.0,175.963,289.7135
